Horizon,Zero-Velocity (mm),Const-Velocity (mm),Transformer (mm)
1s,68.58113924757792,97.03919608432513,108.67918987113697
2s,88.57611989172605,152.62153575626704,121.98586309185396
3s,99.24144324201804,181.65780133925952,128.59535767481879
4s,107.41827821502318,200.61916190844315,135.45132799790454
5s,112.80242970356575,213.6726071513616,138.7817786863217
