Horizon,Zero-Velocity (mm),Const-Velocity (mm),Transformer (mm)
80 ms,12.165980630864698,6.122791715565005,25.10357007295603
160 ms,22.874014089549227,15.189834398084454,46.43739486734073
320 ms,37.95859206778308,33.85667358081611,72.29995142136302
400 ms,43.11659738997973,41.67118597598303,79.27703713732106
560 ms,54.148055559822495,60.67321763506958,91.52558662352108
720 ms,62.87481852230571,78.10931927302764,99.2082790959449
880 ms,68.49875064744127,90.73602223680133,103.36355696476642
1000 ms,73.08899256445113,102.15085291614136,106.47585670508089
