Horizon,Zero-Velocity (mm),Const-Velocity (mm),Transformer (mm)
1s,68.58113694721118,97.03919825502314,112.3197739628645
2s,88.57611680546631,152.62153724065195,126.24694353112808
3s,99.24143986633192,181.65780120171033,130.05916534708095
4s,107.41827456996991,200.6191610487608,139.5199304131361
5s,112.80242592096329,213.67260453792719,138.96064297511026
