Horizon,Zero-Velocity (mm),Const-Velocity (mm),Transformer (mm)
50 ms,12.165980578754985,6.122792244977539,25.45209875596421
100 ms,15.875951281660013,8.842967892996967,33.221120786454
500 ms,50.03707266102234,53.22287323485528,90.28388279534522
1000 ms,73.08899194356941,102.15085534644979,110.09599550494126
